id,base_product_id,name,description,retail_price,pet_type,product_type,age,unit,size,flavour,image_urls,is_active,created_at,updated_at,stock_quantity,thumbnail_url,default_rating,is_featured,label,row_index,legacy_id,legacy_base_id,brand,wholesale_price
005faa21-0e3e-4dad-affb-94fd8b0b57c3,005faa21-0e3e-4dad-affb-94fd8b0b57c3,"PETSLIFE Lori Natural Bird Food, 250g",A nutritious nutrition made for birds (250g) helps maintain overall health.,2.800,bird,food,,g,250,,,true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/798.jpeg,4.8,false,BIRD FOOD,294,798,798,,
0109f06e-0790-4491-b2f4-869925017672,a16120e3-5700-448e-9663-d050714fa8ea,Clean + 5L Coffee,A gentle hygiene solution for cats (5liter) keeps pets clean and fresh.,1.500,cat,grooming,,liter,5.00,,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/210.jpeg,4.5,false,Litter,39,210,207,Clean +,
0126900d-a1fd-4516-837b-d84ba75b1bd7,0cd16fec-6550-4b8d-821d-3fe5a3bdb1c8,BOYU FILTER UV LIGHT EFU-25-32W,A durable device suitable for fish (32watt) ensures stable operation.,50.000,fish,equipment,,watt,32,,,true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/513.jpeg,4.6,false,AQUARIUM FILTER,402,513,443,,
028c98e0-6da7-4ba6-8d16-550a4d8c8463,940925f0-f024-4ef7-b22a-766afb1357dc,TAIYO TROPICAL FLAKE FISH FOOD 50G,A nutritious food formulated for fish (50g) ideal for everyday feeding.,1.000,fish,food,,g,50,,,true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/685.png,4.7,false,Fish food,580,685,666,,
0361b9c9-cc79-4d75-92bd-ac96423f5020,83cffa8f-31fb-4d9e-9707-8d2fa28f0331,Bestpet Adult Mix 1Kg,A nutritious food formulated for adult pets (1kg) supports daily nutrition.,1.500,cat,food,adult,kg,1.00,,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://nlgoitdbyhdoaemkixpr.supabase.co/storage/v1/object/public/product-images/products/0361b9c9-cc79-4d75-92bd-ac96423f5020/thumbnail-1768571251706.png,4.5,false,Food,59,20,1,Bestpet,
036f2ef4-aff8-4eb8-ac69-da8a2b689578,8371e9bb-10d6-4f7d-8ec8-013df3f84e0f,FILTER QL-1000F-12W,A high-performance equipment designed for fish (12watt) built for long-lasting performance.,3.500,fish,equipment,,watt,12,,,true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/536.jpeg,4.1,false,AQUARIUM FILTER,396,536,534,,
0408044e-80b9-491f-84aa-469235a04f57,c626e441-5a28-4c55-9f14-360802a93b26,DOPHIN MAGNET CLEANER FM 002(M),An essential accessory designed for fish ideal for everyday needs.,3.000,fish,accessories,,,,,,true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/602.jpeg,4.1,false,Aquarium Accessories,321,602,365,,
04323e7c-21b8-4329-b488-27d1ba4b44e3,8cd13003-d746-4732-9013-8ab0161d6726,AQUARIUM BL-08,A spacious living space designed for fish provides comfort and safety.,28.000,fish,habitat,,model,,,,true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/433.jpg,4.5,false,AQUARIUM,394,433,408,,
0447360b-43d6-4bfe-a305-ac625a7d4246,92ae358f-b218-4eaf-b10d-c10b460e9cc8,GrandMix criceti e gerbilli 400g,A nutritious meal designed for pets with rice (400g) ideal for everyday feeding.,2.800,other,food,,g,400,rice,,true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/812.jpeg,4.4,false,Hamste food,314,812,806,,
0511470c-91a3-4839-94c0-21c320c16c72,a16120e3-5700-448e-9663-d050714fa8ea,Clean + 5L Lemon,A gentle grooming product for cats (5liter) supports coat and skin care.,1.500,cat,grooming,,liter,5.00,,[],true,2026-01-02 20:49:19.968373+00,2026-01-02 20:49:19.968373+00,1000,https://www.buypets.om/images/products/208.jpeg,4.5,false,Litter,796,208,207,Clean +,
